L,bits_per_dimension,center,code_bytes,codebook_bytes,full_vector_resident_bytes,label,mean_comparisons,mean_comparisons_max,mean_comparisons_min,mean_comparisons_r1,mean_comparisons_r2,mean_comparisons_r3,mean_cpu_us,mean_cpu_us_max,mean_cpu_us_min,mean_cpu_us_r1,mean_cpu_us_r2,mean_cpu_us_r3,mean_exact_nav_reads,mean_exact_nav_reads_max,mean_exact_nav_reads_min,mean_exact_nav_reads_r1,mean_exact_nav_reads_r2,mean_exact_nav_reads_r3,mean_hops,mean_hops_max,mean_hops_min,mean_hops_r1,mean_hops_r2,mean_hops_r3,mean_io_us,mean_io_us_max,mean_io_us_min,mean_io_us_r1,mean_io_us_r2,mean_io_us_r3,mean_ios,mean_ios_max,mean_ios_min,mean_ios_r1,mean_ios_r2,mean_ios_r3,nav_dram_bytes_per_query,nav_dram_bytes_per_query_max,nav_dram_bytes_per_query_min,nav_dram_bytes_per_query_r1,nav_dram_bytes_per_query_r2,nav_dram_bytes_per_query_r3,p50_us,p50_us_max,p50_us_min,p50_us_r1,p50_us_r2,p50_us_r3,p95_us,p95_us_max,p95_us_min,p95_us_r1,p95_us_r2,p95_us_r3,p99_us,p99_us_max,p99_us_min,p99_us_r1,p99_us_r2,p99_us_r3,peak_rss_kib,peak_rss_kib_max,peak_rss_kib_min,peak_rss_kib_r1,peak_rss_kib_r2,peak_rss_kib_r3,pq_resident_bytes,qps,qps_max,qps_min,qps_r1,qps_r2,qps_r3,recall_at_10,repeats,representation_resident_bytes,rotation_matrix_bytes,ssd_bytes_per_query,ssd_bytes_per_query_max,ssd_bytes_per_query_min,ssd_bytes_per_query_r1,ssd_bytes_per_query_r2,ssd_bytes_per_query_r3,touched_bytes_per_query,touched_bytes_per_query_max,touched_bytes_per_query_min,touched_bytes_per_query_r1,touched_bytes_per_query_r2,touched_bytes_per_query_r3
50,0.26666666666666666,median,32,991132,,opq32,7521.503,7521.503,7521.503,7521.503,7521.503,7521.503,591.972,754.528,484.273,484.273,591.972,754.528,0.0,0.0,0.0,0.0,0.0,0.0,18.011,18.011,18.011,18.011,18.011,18.011,2596.881,3393.927,2138.588,2138.588,2596.881,3393.927,65.689,65.689,65.689,65.689,65.689,65.689,0.0,0.0,0.0,0.0,0.0,0.0,2701.5,4149.5,2558.0,2558.0,2701.5,4149.5,6329.549999999998,7054.45,4366.65,4366.65,6329.549999999998,7054.45,7311.48,8085.09,5005.37,5005.37,7311.48,8085.09,51072.0,51072.0,51072.0,51072.0,51072.0,51072.0,32000000,143.111,169.139,116.88,169.139,143.111,116.88,0.7912,3,36677548,3686408,269062.144,269062.144,269062.144,269062.144,269062.144,269062.144,269062.144,269062.144,269062.144,269062.144,269062.144,269062.144
100,0.26666666666666666,median,32,991132,,opq32,12477.547,12477.547,12477.547,12477.547,12477.547,12477.547,1462.829,1484.667,1145.395,1462.829,1484.667,1145.395,0.0,0.0,0.0,0.0,0.0,0.0,29.779,29.779,29.779,29.779,29.779,29.779,5580.044,6003.191,3743.997,5580.044,6003.191,3743.997,113.362,113.362,113.362,113.362,113.362,113.362,0.0,0.0,0.0,0.0,0.0,0.0,6476.5,8180.0,4956.0,6476.5,8180.0,4956.0,11254.15,11338.5,6954.15,11254.15,11338.5,6954.15,12026.1,12098.88,8322.46,12026.1,12098.88,8322.46,51072.0,51072.0,51072.0,51072.0,51072.0,51072.0,32000000,82.1097,106.726,79.1314,82.1097,79.1314,106.726,0.8951000000000001,3,36677548,3686408,464330.752,464330.752,464330.752,464330.752,464330.752,464330.752,464330.752,464330.752,464330.752,464330.752,464330.752,464330.752
200,0.26666666666666666,median,32,991132,,opq32,22257.731,22257.731,22257.731,22257.731,22257.731,22257.731,2664.567,2762.215,2638.324,2664.567,2762.215,2638.324,0.0,0.0,0.0,0.0,0.0,0.0,54.257,54.257,54.257,54.257,54.257,54.257,8054.433,8960.331,7652.331,8054.433,8960.331,7652.331,211.664,211.664,211.664,211.664,211.664,211.664,0.0,0.0,0.0,0.0,0.0,0.0,10484.5,10774.0,10370.0,10484.5,10774.0,10370.0,17510.899999999998,19289.25,13771.0,17510.899999999998,19289.25,13771.0,19811.079999999998,20418.12,16697.41,19811.079999999998,20418.12,16697.41,51072.0,51072.0,51072.0,51072.0,51072.0,51072.0,32000000,59.6715,61.2829,56.3439,59.6715,56.3439,61.2829,0.9575,3,36677548,3686408,866975.744,866975.744,866975.744,866975.744,866975.744,866975.744,866975.744,866975.744,866975.744,866975.744,866975.744,866975.744
400,0.26666666666666666,median,32,991132,,opq32,41006.141,41006.141,41006.141,41006.141,41006.141,41006.141,5037.735,5565.254,4950.769,5037.735,4950.769,5565.254,0.0,0.0,0.0,0.0,0.0,0.0,103.836,103.836,103.836,103.836,103.836,103.836,15462.951,21146.15,14689.624,15462.951,14689.624,21146.15,410.334,410.334,410.334,410.334,410.334,410.334,0.0,0.0,0.0,0.0,0.0,0.0,20367.5,25365.5,20111.0,20367.5,20111.0,25365.5,31448.849999999977,38631.15,25067.7,31448.849999999977,25067.7,38631.15,36833.74,39681.14,28699.23,36833.74,28699.23,39681.14,51072.0,51072.0,51072.0,51072.0,51072.0,51072.0,32000000,36.3353,37.5132,29.6236,36.3353,37.5132,29.6236,0.9867,3,36677548,3686408,1680728.064,1680728.064,1680728.064,1680728.064,1680728.064,1680728.064,1680728.064,1680728.064,1680728.064,1680728.064,1680728.064,1680728.064
800,0.26666666666666666,median,32,991132,,opq32,76581.727,76581.727,76581.727,76581.727,76581.727,76581.727,9779.083,10626.653,9644.592,9644.592,10626.653,9779.083,0.0,0.0,0.0,0.0,0.0,0.0,203.421,203.421,203.421,203.421,203.421,203.421,29693.551,39266.616,28803.922,28803.922,39266.616,29693.551,809.034,809.034,809.034,809.034,809.034,809.034,0.0,0.0,0.0,0.0,0.0,0.0,39561.5,43640.5,39374.5,39374.5,43640.5,39561.5,58565.549999999916,74505.3,47842.649999999994,47842.649999999994,74505.3,58565.549999999916,73436.31,76808.65,59280.0,59280.0,76808.65,73436.31,51072.0,51072.0,51072.0,51072.0,51072.0,51072.0,32000000,20.7519,21.2125,17.0256,21.2125,17.0256,20.7519,0.9962000000000001,3,36677548,3686408,3313803.264,3313803.264,3313803.264,3313803.264,3313803.264,3313803.264,3313803.264,3313803.264,3313803.264,3313803.264,3313803.264,3313803.264
50,0.5333333333333333,median,64,991260,,opq64,7445.027,7445.027,7445.027,7445.027,7445.027,7445.027,1166.552,1312.159,623.506,1312.159,623.506,1166.552,0.0,0.0,0.0,0.0,0.0,0.0,17.852,17.852,17.852,17.852,17.852,17.852,3859.437,4499.603,1999.002,4499.603,1999.002,3859.437,64.941,64.941,64.941,64.941,64.941,64.941,0.0,0.0,0.0,0.0,0.0,0.0,5604.5,6329.5,2581.5,6329.5,2581.5,5604.5,7375.199999999999,7758.299999999999,4338.349999999999,7758.299999999999,4338.349999999999,7375.199999999999,8399.66,8493.2,5334.549999999999,8493.2,5334.549999999999,8399.66,83328.0,83328.0,82432.0,83328.0,82432.0,83328.0,64000000,102.25,175.75,91.7234,91.7234,175.75,102.25,0.8722000000000001,3,68677676,3686408,265998.336,265998.336,265998.336,265998.336,265998.336,265998.336,265998.336,265998.336,265998.336,265998.336,265998.336,265998.336
100,0.5333333333333333,median,64,991260,,opq64,12432.056,12432.056,12432.056,12432.056,12432.056,12432.056,1867.913,2143.883,1583.444,2143.883,1583.444,1867.913,0.0,0.0,0.0,0.0,0.0,0.0,29.611,29.611,29.611,29.611,29.611,29.611,5208.544,6260.356,3838.986,6260.356,3838.986,5208.544,112.815,112.815,112.815,112.815,112.815,112.815,0.0,0.0,0.0,0.0,0.0,0.0,5905.5,9560.5,5307.5,9560.5,5307.5,5905.5,11771.199999999999,12187.599999999999,8532.599999999999,12187.599999999999,8532.599999999999,11771.199999999999,12531.08,12962.619999999999,10155.72,12962.619999999999,10155.72,12531.08,83328.0,83328.0,82432.0,83328.0,82432.0,83328.0,64000000,84.4109,102.318,73.2777,73.2777,102.318,84.4109,0.9455,3,68677676,3686408,462090.24,462090.24,462090.24,462090.24,462090.24,462090.24,462090.24,462090.24,462090.24,462090.24,462090.24,462090.24
200,0.5333333333333333,median,64,991260,,opq64,22224.647,22224.647,22224.647,22224.647,22224.647,22224.647,3627.748,3817.595,3518.025,3817.595,3518.025,3627.748,0.0,0.0,0.0,0.0,0.0,0.0,54.096,54.096,54.096,54.096,54.096,54.096,8011.142,9390.985,7318.228,9390.985,7318.228,8011.142,211.153,211.153,211.153,211.153,211.153,211.153,0.0,0.0,0.0,0.0,0.0,0.0,11212.0,11614.5,11126.0,11614.5,11126.0,11212.0,19387.399999999998,21248.699999999997,13898.4,21248.699999999997,13898.4,19387.399999999998,21125.329999999998,22229.37,15919.58,22229.37,15919.58,21125.329999999998,83328.0,83328.0,82432.0,83328.0,82432.0,83328.0,64000000,57.1139,59.8662,52.1,52.1,59.8662,57.1139,0.9811,3,68677676,3686408,864882.688,864882.688,864882.688,864882.688,864882.688,864882.688,864882.688,864882.688,864882.688,864882.688,864882.688,864882.688
400,0.5333333333333333,median,64,991260,,opq64,40999.637,40999.637,40999.637,40999.637,40999.637,40999.637,7347.434,7637.508,7177.561,7347.434,7637.508,7177.561,0.0,0.0,0.0,0.0,0.0,0.0,103.64,103.64,103.64,103.64,103.64,103.64,17897.173,20163.741,17067.181,17897.173,20163.741,17067.181,409.755,409.755,409.755,409.755,409.755,409.755,0.0,0.0,0.0,0.0,0.0,0.0,22262.0,23990.0,22006.0,22262.0,23990.0,22006.0,40367.7,40682.95,39541.55,40367.7,40682.95,39541.55,42190.62,42314.51,41000.26,42314.51,42190.62,41000.26,83328.0,83328.0,82432.0,83328.0,82432.0,83328.0,64000000,30.9741,32.0677,28.6935,30.9741,28.6935,32.0677,0.9945,3,68677676,3686408,1678356.48,1678356.48,1678356.48,1678356.48,1678356.48,1678356.48,1678356.48,1678356.48,1678356.48,1678356.48,1678356.48,1678356.48
800,0.5333333333333333,median,64,991260,,opq64,76613.175,76613.175,76613.175,76613.175,76613.175,76613.175,13813.609,14131.494,13724.553,13813.609,14131.494,13724.553,0.0,0.0,0.0,0.0,0.0,0.0,203.24,203.24,203.24,203.24,203.24,203.24,31181.44,32793.641,30753.091,30753.091,32793.641,31181.44,808.466,808.466,808.466,808.466,808.466,808.466,0.0,0.0,0.0,0.0,0.0,0.0,43039.5,43237.5,42686.5,43039.5,43237.5,42686.5,75721.84999999999,77622.34999999999,74829.59999999999,75721.84999999999,77622.34999999999,74829.59999999999,78845.04,80229.75,78749.77,78845.04,80229.75,78749.77,83328.0,83328.0,82432.0,83328.0,82432.0,83328.0,64000000,18.6818,18.7693,17.9604,18.7693,17.9604,18.6818,0.9983,3,68677676,3686408,3311476.736,3311476.736,3311476.736,3311476.736,3311476.736,3311476.736,3311476.736,3311476.736,3311476.736,3311476.736,3311476.736,3311476.736
50,0.26666666666666666,mean,32,991132,0.0,pq32,7512.106,7512.106,7512.106,7512.106,7512.106,,827.1125,844.102,810.123,810.123,844.102,,0.0,0.0,0.0,0.0,0.0,,18.136,18.136,18.136,18.136,18.136,,2637.678,2744.629,2530.727,2530.727,2744.629,,66.162,66.162,66.162,66.162,66.162,,0.0,0.0,0.0,0.0,0.0,,3256.75,3298.5,3215.0,3215.0,3298.5,,6126.85,6295.45,5958.25,5958.25,6295.45,,7086.279999999999,7108.1799999999985,7064.379999999999,7064.379999999999,7108.1799999999985,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,253.144,261.584,244.704,261.584,244.704,,0.5441999999999999,2.0,32991140,0,270999.552,270999.552,270999.552,270999.552,270999.552,,270999.552,270999.552,270999.552,270999.552,270999.552,
100,0.26666666666666666,mean,32,991132,0.0,pq32,12409.11,12409.11,12409.11,12409.11,12409.11,,1400.3535000000002,1425.913,1374.794,1374.794,1425.913,,0.0,0.0,0.0,0.0,0.0,,29.957,29.957,29.957,29.957,29.957,,4084.4935,4302.393,3866.594,3866.594,4302.393,,113.927,113.927,113.927,113.927,113.927,,0.0,0.0,0.0,0.0,0.0,,5472.5,5499.0,5446.0,5446.0,5499.0,,8483.325,10176.4,6790.25,6790.25,10176.4,,9971.989999999998,11508.06,8435.919999999998,8435.919999999998,11508.06,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,162.4205,169.015,155.826,169.015,155.826,,0.6695,2.0,32991140,0,466644.992,466644.992,466644.992,466644.992,466644.992,,466644.992,466644.992,466644.992,466644.992,466644.992,
200,0.26666666666666666,mean,32,991132,0.0,pq32,22046.311,22046.311,22046.311,22046.311,22046.311,,2664.276,2722.501,2606.051,2606.051,2722.501,,0.0,0.0,0.0,0.0,0.0,,54.451,54.451,54.451,54.451,54.451,,8229.622,9006.529,7452.715,7452.715,9006.529,,212.38,212.38,212.38,212.38,212.38,,0.0,0.0,0.0,0.0,0.0,,10345.75,10444.0,10247.5,10247.5,10444.0,,16329.625,19558.15,13101.099999999999,13101.099999999999,19558.15,,19233.53,20663.36,17803.7,17803.7,20663.36,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,83.43625,89.2622,77.6103,89.2622,77.6103,,0.7921000000000001,2.0,32991140,0,869908.48,869908.48,869908.48,869908.48,869908.48,,869908.48,869908.48,869908.48,869908.48,869908.48,
400,0.26666666666666666,mean,32,991132,0.0,pq32,40476.732,40476.732,40476.732,40476.732,40476.732,,4960.4515,5069.278,4851.625,5069.278,4851.625,,0.0,0.0,0.0,0.0,0.0,,104.015,104.015,104.015,104.015,104.015,,16076.355500000001,16907.002,15245.709,16907.002,15245.709,,410.941,410.941,410.941,410.941,410.941,,0.0,0.0,0.0,0.0,0.0,,19695.0,19914.0,19476.0,19914.0,19476.0,,35125.0,36208.15,34041.85,36208.15,34041.85,,37714.41499999999,37968.78999999999,37460.04,37968.78999999999,37460.04,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,43.3183,45.1223,41.5143,41.5143,45.1223,,0.8875000000000001,2.0,32991140,0,1683214.336,1683214.336,1683214.336,1683214.336,1683214.336,,1683214.336,1683214.336,1683214.336,1683214.336,1683214.336,
800,0.26666666666666666,mean,32,991132,0.0,pq32,75496.57,75496.57,75496.57,75496.57,75496.57,,10063.7555,10152.842,9974.669,9974.669,10152.842,,0.0,0.0,0.0,0.0,0.0,,203.614,203.614,203.614,203.614,203.614,,34643.803,35299.427,33988.179,33988.179,35299.427,,809.732,809.732,809.732,809.732,809.732,,0.0,0.0,0.0,0.0,0.0,,40139.5,40859.5,39419.5,39419.5,40859.5,,71366.04999999999,71690.65,71041.45,71041.45,71690.65,,75275.405,75444.81999999999,75105.99,75444.81999999999,75105.99,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,20.62345,20.9456,20.3013,20.9456,20.3013,,0.9483,2.0,32991140,0,3316662.272,3316662.272,3316662.272,3316662.272,3316662.272,,3316662.272,3316662.272,3316662.272,3316662.272,3316662.272,
50,0.5333333333333333,mean,64,991260,0.0,pq64,7472.108,7472.108,7472.108,7472.108,7472.108,,1171.059,1182.388,1159.73,1159.73,1182.388,,0.0,0.0,0.0,0.0,0.0,,18.029,18.029,18.029,18.029,18.029,,2968.0060000000003,2977.916,2958.096,2977.916,2958.096,,65.748,65.748,65.748,65.748,65.748,,0.0,0.0,0.0,0.0,0.0,,3684.25,3709.5,3659.0,3659.0,3709.5,,6898.724999999999,6963.65,6833.799999999999,6963.65,6833.799999999999,,7679.699999999999,7696.379999999999,7663.019999999999,7663.019999999999,7696.379999999999,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,215.727,215.976,215.478,215.976,215.478,,0.6938,2.0,64991268,0,269303.808,269303.808,269303.808,269303.808,269303.808,,269303.808,269303.808,269303.808,269303.808,269303.808,
100,0.5333333333333333,mean,64,991260,0.0,pq64,12401.511,12401.511,12401.511,12401.511,12401.511,,2085.7605000000003,2109.237,2062.284,2109.237,2062.284,,0.0,0.0,0.0,0.0,0.0,,29.872,29.872,29.872,29.872,29.872,,4647.9185,4827.789,4468.048,4827.789,4468.048,,113.726,113.726,113.726,113.726,113.726,,0.0,0.0,0.0,0.0,0.0,,6193.5,6250.0,6137.0,6250.0,6137.0,,11326.474999999999,11507.2,11145.749999999998,11507.2,11145.749999999998,,12102.22,12194.279999999999,12010.16,12194.279999999999,12010.16,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,134.77249999999998,138.505,131.04,131.04,138.505,,0.8178000000000001,2.0,64991268,0,465821.696,465821.696,465821.696,465821.696,465821.696,,465821.696,465821.696,465821.696,465821.696,465821.696,
200,0.5333333333333333,mean,64,991260,0.0,pq64,22047.895,22047.895,22047.895,22047.895,22047.895,,3733.841,3750.221,3717.461,3750.221,3717.461,,0.0,0.0,0.0,0.0,0.0,,54.339,54.339,54.339,54.339,54.339,,8345.639500000001,8566.048,8125.231,8566.048,8125.231,,212.0,212.0,212.0,212.0,212.0,,0.0,0.0,0.0,0.0,0.0,,11310.25,11322.0,11298.5,11322.0,11298.5,,19792.025,20168.0,19416.05,20168.0,19416.05,,21003.785,21237.08,20770.489999999998,21237.08,20770.489999999998,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,75.58265,76.9364,74.2289,74.2289,76.9364,,0.9105000000000001,2.0,64991268,0,868352.0,868352.0,868352.0,868352.0,868352.0,,868352.0,868352.0,868352.0,868352.0,868352.0,
400,0.5333333333333333,mean,64,991260,0.0,pq64,40561.57,40561.57,40561.57,40561.57,40561.57,,7203.405000000001,7421.011,6985.799,7421.011,6985.799,,0.0,0.0,0.0,0.0,0.0,,103.912,103.912,103.912,103.912,103.912,,17158.9245,18800.731,15517.118,18800.731,15517.118,,410.64,410.64,410.64,410.64,410.64,,0.0,0.0,0.0,0.0,0.0,,22043.25,22525.5,21561.0,22525.5,21561.0,,39227.5,40283.799999999996,38171.2,40283.799999999996,38171.2,,40946.56,42124.72,39768.4,42124.72,39768.4,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,37.92115,40.6527,35.1896,35.1896,40.6527,,0.9682000000000001,2.0,64991268,0,1681981.44,1681981.44,1681981.44,1681981.44,1681981.44,,1681981.44,1681981.44,1681981.44,1681981.44,1681981.44,
800,0.5333333333333333,mean,64,991260,0.0,pq64,75712.277,75712.277,75712.277,75712.277,75712.277,,14348.1345,14989.765,13706.504,13706.504,14989.765,,0.0,0.0,0.0,0.0,0.0,,203.496,203.496,203.496,203.496,203.496,,35489.1925,40236.501,30741.884,30741.884,40236.501,,809.382,809.382,809.382,809.382,809.382,,0.0,0.0,0.0,0.0,0.0,,46867.5,51253.0,42482.0,42482.0,51253.0,,76260.75,78174.84999999999,74346.65,74346.65,78174.84999999999,,79294.495,80782.12,77806.87,77806.87,80782.12,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,18.836550000000003,20.756,16.9171,20.756,16.9171,,0.9908,2.0,64991268,0,3315228.672,3315228.672,3315228.672,3315228.672,3315228.672,,3315228.672,3315228.672,3315228.672,3315228.672,3315228.672,
